ZipCode,WaterUse,PowerUse,Date
90007,44.46,292,2008
90007,43.34,282,2008
90007,45.09,293,2008
90007,40.02,281,2008
90007,47.12,302,2008
90007,46.39,318,2008
90007,48.19,341,2008
90007,50.66,349,2008
90007,45.06,314,2008
90007,38.24,323,2008
90007,41.05,318,2009
90007,37.79,288,2009
90007,44.07,292,2009
90007,43.01,279,2009
90007,44.47,277,2009
90007,39.35,262,2009
90007,42.1,293,2009
90007,43.28,306,2009
90007,46.62,341,2009
90007,45.2,348,2009
90007,41.83,300,2009
90007,37.57,309,2009
90007,37.41,311,2010
90007,36.15,282,2010
90007,40.27,277,2010
90007,40.54,264,2010
90007,43.2,253,2010
90007,40.93,241,2010
90007,43.7,261,2010
90007,51.29,269,2010
90007,52.29,285,2010
90007,51.95,295,2010
90007,49.58,288,2010
90007,47.33,298,2010
90007,53.4,308,2011
90007,48.6,278,2011
90007,53.25,272,2011
90007,47.96,259,2011
90007,54.48,246,2011
90007,49.53,236,2011
90007,43.45,269,2011
90007,44.22,278,2011
90007,44.87,286,2011
90007,44.43,297,2011
90007,40.01,296,2011
90007,36.9,305,2011
90007,40.28,290,2012
90007,37.98,271,2012
90007,42,276,2012
90007,40.43,263,2012
90007,42.29,241,2012
90007,41.13,235,2012
90007,13.02,276,2012
90007,13.04,294,2012
90007,13.18,336,2012
90007,13.06,338,2012
90007,10.53,280,2012
90007,10.83,290,2013
90007,10.37,312,2013
90007,9.33,281,2013
90007,11.37,259,2013
90007,11.03,250,2013
90007,12.31,259,2013
90007,11.87,247,2013
90008,27.74,358,2005
90008,27.56,360,2005
90008,25.89,351,2005
90008,24.33,371,2005
90008,21.2,371,2005
90008,21.56,397,2005
90008,21.49,412,2006
90008,18.87,370,2006
90008,20.18,405,2006
90008,20.37,371,2006
90008,23.19,353,2006
90008,24.44,360,2006
90008,27.72,400,2006
90008,26.89,382,2006
90008,24.88,347,2006
90008,24.83,375,2006
90008,23.12,385,2006
90008,22.82,420,2006
90008,22.1,442,2007
90008,20.28,375,2007
90008,22.94,380,2007
90008,23.01,359,2007
90008,25.31,357,2007
90008,25.18,351,2007
90008,26.76,373,2007
90008,26.43,375,2007
90008,25.07,363,2007
90008,24.27,386,2007
90008,21.4,388,2007
90008,20.73,418,2007
90008,19.24,438,2008
90008,18.16,386,2008
90008,20.49,368,2008
90008,20.95,350,2008
90008,23.47,353,2008
90008,23.25,353,2008
90008,25.47,382,2008
90008,24.95,374,2008
90008,23.57,354,2008
90008,23.45,376,2008
90008,21.27,376,2008
90008,20.54,404,2008
90008,18.77,421,2009
90008,17.16,367,2009
90008,19.79,370,2009
90008,19.91,348,2009
90008,21.84,344,2009
90008,21.4,334,2009
90008,22.81,356,2009
90008,22.51,361,2009
90008,21.59,355,2009
90008,21.26,374,2009
90008,19.24,371,2009
90008,18.99,396,2009
90008,17.83,410,2010
90008,16.05,357,2010
90008,17.61,356,2010
90008,18,334,2010
90008,20.7,329,2010
90008,20.84,319,2010
90008,22.22,335,2010
90008,22.07,342,2010
90008,21.05,337,2010
90008,20.18,361,2010
90008,17.62,367,2010
90008,17.81,396,2010
90008,17.46,414,2011
90008,16.07,361,2011
90008,17.98,370,2011
90008,18.33,340,2011
90008,20.66,328,2011
90008,20.71,320,2011
90008,22.6,335,2011
90008,22.14,336,2011
90008,20.85,327,2011
90008,20.01,358,2011
90008,17.89,371,2011
90008,18.43,392,2011
90008,18.61,399,2012
90008,17.26,361,2012
90008,18.38,364,2012
90008,18.2,334,2012
90008,19.91,320,2012
90008,20.48,317,2012
90008,11.84,340,2012
90008,11.69,354,2012
90008,11.16,357,2012
90008,10.39,368,2012
90008,8.56,357,2012
90008,8.31,391,2013
90008,7.84,418,2013
90008,7.29,347,2013
90008,8.81,334,2013
90008,9.2,317,2013
90008,10.79,318,2013
90008,10.74,312,2013
90009,0,427,2005
90009,0,386,2005
90009,0,371,2005
90009,0,356,2005
90009,0,346,2005
90009,0,406,2005
90009,0,406,2006
90009,0,310,2006
90009,0,342,2006
90009,0,305,2006
90009,0,321,2006
90009,0,466,2006
90009,0,469,2006
90009,0,352,2006
90009,0,345,2006
90009,0,404,2006
90009,0,393,2006
90009,0,476,2006
90009,0,476,2007
90009,0,437,2007
90009,0,484,2007
90009,0,478,2007
90009,0,497,2007
90009,0,521,2007
90009,0,529,2007
90009,0,466,2007
90009,0,455,2007
90009,0,496,2007
90009,0,481,2007
90009,0,528,2007
90009,0,525,2008
90009,0,421,2008
90009,0,450,2008
90009,0,521,2008
90009,0,535,2008
90009,0,474,2008
90009,0,494,2008
90009,0,549,2008
90009,0,535,2008
90009,0,579,2008
90009,0,561,2008
90009,0,609,2008
90009,0,609,2009
90009,0,508,2009
90009,0,563,2009
90009,0,487,2009
90009,0,501,2009
90009,0,450,2009
90009,0,158,2009
90009,0,198,2009
90009,0,192,2009
90009,0,194,2009
90009,0,188,2009
90009,0,200,2009
90009,0,200,2010
90009,0,122,2010
90009,0,133,2010
90009,0,169,2010
